Sample in Buffer,Sample in Window,TRIGGER,inst_dsp_top/fraser_user_code/U0/mux_en[0:0],inst_dsp_top/fraser_user_code/U0/s_axis_tdata[0:0],inst_dsp_top/fraser_user_code/m_axis_tdata[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
626,626,0,1,1,12913
627,627,0,1,1,12913
628,628,0,1,1,12913
629,629,0,1,1,12913
630,630,0,1,1,12913
631,631,0,1,1,12913
632,632,0,1,1,0
633,633,0,1,1,52635
634,634,0,1,1,64270
635,635,0,1,1,12820
636,636,0,1,1,1895
637,637,0,1,1,59566
638,638,0,1,1,59566
639,639,0,1,1,59566
640,640,0,1,1,59566
641,641,0,1,1,59566
642,642,0,1,1,59566
643,643,0,1,1,59566
644,644,0,1,1,59566
645,645,0,1,1,59566
646,646,0,1,1,54087
647,647,0,1,1,5132
648,648,0,1,1,11701
649,649,0,1,1,61269
650,650,0,1,1,53756
651,651,0,1,1,3378
652,652,0,1,1,12357
653,653,0,1,1,12357
654,654,0,1,1,12357
655,655,0,1,1,12357
656,656,0,1,1,12357
657,657,0,1,1,12357
658,658,0,1,1,12357
659,659,0,1,1,12357
660,660,0,1,1,12357
661,661,0,1,1,63116
662,662,0,1,1,53057
663,663,0,1,1,1550
664,664,0,1,1,12346
665,665,0,1,1,64927
666,666,0,1,1,53134
667,667,0,1,1,53134
668,668,0,1,1,53134
669,669,0,1,1,53134
670,670,0,1,1,53134
671,671,0,1,1,53134
672,672,0,1,1,53134
673,673,0,1,1,53134
674,674,0,1,1,65232
675,675,0,1,1,12391
676,676,0,1,1,1241
677,677,0,1,1,53008
678,678,0,1,1,63415
679,679,0,1,1,12167
680,680,0,1,1,12167
681,681,0,1,1,12167
682,682,0,1,1,12167
683,683,0,1,1,12167
684,684,0,1,1,12167
685,685,0,1,1,12167
686,686,0,1,1,12167
687,687,0,1,1,12167
688,688,0,1,1,2121
689,689,0,1,1,12008
690,690,0,1,1,64050
691,691,0,1,1,53429
692,692,0,1,1,596
693,693,0,1,1,12139
694,694,0,1,1,609
695,695,0,1,1,609
696,696,0,1,1,609
697,697,0,1,1,609
698,698,0,1,1,609
699,699,0,1,1,609
700,700,0,1,1,609
701,701,0,1,1,609
702,702,0,1,1,609
703,703,0,1,1,53429
704,704,0,1,1,64346
705,705,0,1,1,12008
706,706,0,1,1,2368
707,707,0,1,1,53691
708,708,0,1,1,62298
709,709,0,1,1,62298
710,710,0,1,1,62298
711,711,0,1,1,62298
712,712,0,1,1,62298
713,713,0,1,1,62298
714,714,0,1,1,62298
715,715,0,1,1,62298
716,716,0,1,1,62298
717,717,0,1,1,11617
718,718,0,1,1,4090
719,719,0,1,1,54210
720,720,0,1,1,60617
721,721,0,1,1,10974
722,722,0,1,1,5335
723,723,0,1,1,54974
724,724,0,1,1,54974
725,725,0,1,1,54974
726,726,0,1,1,54974
727,727,0,1,1,54974
728,728,0,1,1,54974
729,729,0,1,1,54974
730,730,0,1,1,54974
731,731,0,1,1,54974
732,732,0,1,1,59041
733,733,0,1,1,10094
734,734,0,1,1,7232
735,735,0,1,1,56181
736,736,0,1,1,58008
737,737,0,1,1,64954
738,738,0,1,1,64954
739,739,0,1,1,64954
740,740,0,1,1,64954
741,741,0,1,1,64954
742,742,0,1,1,64954
743,743,0,1,1,64954
744,744,0,1,1,64954
745,745,0,1,1,64954
746,746,0,1,1,11809
747,747,0,1,1,1452
748,748,0,1,1,53845
749,749,0,1,1,63221
750,750,0,1,1,11510
751,751,0,1,1,3165
752,752,0,1,1,54269
753,753,0,1,1,54269
754,754,0,1,1,54269
755,755,0,1,1,54269
756,756,0,1,1,54269
757,757,0,1,1,54269
758,758,0,1,1,54269
759,759,0,1,1,54269
760,760,0,1,1,54269
761,761,0,1,1,61633
762,762,0,1,1,10963
763,763,0,1,1,4695
764,764,0,1,1,54937
765,765,0,1,1,60075
766,766,0,1,1,10178
767,767,0,1,1,10178
768,768,0,1,1,10178
769,769,0,1,1,10178
770,770,0,1,1,10178
771,771,0,1,1,10178
772,772,0,1,1,10178
773,773,0,1,1,10178
774,774,0,1,1,6198
775,775,0,1,1,55903
776,776,0,1,1,58467
777,777,0,1,1,9173
778,778,0,1,1,7750
